component_id,component_name,component_type,sku,tier_level,supplier_id,supplier_name,supplier_country,annual_volume,unit_cost_usd,lead_time_days,is_single_source,critical_component
COMP-0073,Flex PCB v2,pcb,SKU-PCB-00073,2,supplier_269,StarComp SOU-269,South Korea,181007,4.02,18,0,0
COMP-0074,LED Array v1,display,SKU-DIS-00074,3,supplier_242,PrecisionCo TAI-242,Taiwan,73783,68.76,39,0,0
COMP-0075,Wi-Fi IC v1,ic_chip,SKU-IC_-00075,1,supplier_127,NexGen CHI-127,China,190377,9.18,29,0,0
COMP-0076,DRAM Module v4,semiconductor,SKU-SEM-00076,2,supplier_305,CoreTech TAI-305,Taiwan,485488,43.02,75,0,0
COMP-0077,Main Camera v4,camera_module,SKU-CAM-00077,3,supplier_495,CoreTech CHI-495,China,408547,75.63,75,0,0
COMP-0078,RF Cable v4,cable,SKU-CAB-00078,1,supplier_461,GlobalParts JAP-461,Japan,279796,0.69,7,0,0
COMP-0079,FPGA Chip v3,semiconductor,SKU-SEM-00079,2,supplier_312,PrecisionCo SOU-312,South Korea,318840,17.74,105,0,1
COMP-0080,Power Cell v3,battery_cell,SKU-BAT-00080,2,supplier_219,StarComp TAI-219,Taiwan,377103,89.42,21,0,0
COMP-0081,LiPo Pack v4,battery_cell,SKU-BAT-00081,2,supplier_032,PrecisionCo CHI-032,China,399041,16.25,26,1,0
COMP-0082,Proximity Sensor v2,sensor,SKU-SEN-00082,3,supplier_197,NexGen CHI-197,China,324007,14.66,29,0,0
COMP-0083,Gyroscope v2,sensor,SKU-SEN-00083,2,supplier_330,TechMfg TAI-330,Taiwan,36889,19.03,36,0,1
COMP-0084,Plastic Shell v3,housing,SKU-HOU-00084,2,supplier_089,StarComp JAP-089,Japan,493099,1.08,41,0,0
COMP-0085,Bluetooth IC v2,ic_chip,SKU-IC_-00085,2,supplier_447,NexGen CHI-447,China,139237,5.36,90,0,0
COMP-0086,Proximity Sensor v1,sensor,SKU-SEN-00086,3,supplier_152,PrecisionCo CHI-152,China,357396,14.9,31,0,0
COMP-0087,HDMI Connector v4,connector,SKU-CON-00087,2,supplier_281,GlobalParts CHI-281,China,294989,2.73,19,0,0
COMP-0088,HDMI Connector v1,connector,SKU-CON-00088,1,supplier_324,EliteMfg GER-324,Germany,348414,1.35,16,0,0
COMP-0089,Li-Ion Cell v4,battery_cell,SKU-BAT-00089,2,supplier_046,PrimeParts MEX-046,Mexico,66081,60.67,47,0,0
COMP-0090,USB-C Port v4,connector,SKU-CON-00090,1,supplier_164,EliteMfg TAI-164,Taiwan,81624,2.59,25,0,0
COMP-0091,Accelerometer v4,sensor,SKU-SEN-00091,1,supplier_334,EliteMfg USA-334,USA,435646,3.2,26,0,0
COMP-0092,LiPo Pack v2,battery_cell,SKU-BAT-00092,3,supplier_338,ApexManuf CHI-338,China,370905,50.16,29,0,0
COMP-0093,Back Cover v4,housing,SKU-HOU-00093,2,supplier_477,NexGen USA-477,USA,372891,9.57,22,1,0
COMP-0094,DRAM Module v3,semiconductor,SKU-SEM-00094,1,supplier_489,StarComp JAP-489,Japan,220468,2.83,97,0,0
COMP-0095,Plastic Shell v3,housing,SKU-HOU-00095,2,supplier_438,ApexManuf GER-438,Germany,181600,14.07,28,0,0
COMP-0096,Power Wire v2,cable,SKU-CAB-00096,2,supplier_162,PrecisionCo SOU-162,South Korea,352476,1.27,14,0,0
COMP-0097,Data Cable v4,cable,SKU-CAB-00097,3,supplier_123,UniComp SOU-123,South Korea,477250,1.69,20,0,0
COMP-0098,Audio Codec v1,ic_chip,SKU-IC_-00098,2,supplier_373,UniComp TAI-373,Taiwan,116970,4.86,74,1,0
COMP-0099,Front Camera v3,camera_module,SKU-CAM-00099,2,supplier_121,GlobalParts TAI-121,Taiwan,317081,46.09,47,1,0
COMP-0100,Flex PCB v2,pcb,SKU-PCB-00100,1,supplier_205,CoreTech TAI-205,Taiwan,328891,21.65,40,0,0
COMP-0101,Aluminum Chassis v2,housing,SKU-HOU-00101,1,supplier_004,EliteMfg TAI-004,Taiwan,227504,12.67,39,1,0
COMP-0102,Li-Ion Cell v3,battery_cell,SKU-BAT-00102,1,supplier_388,ApexManuf USA-388,USA,58114,89.88,36,0,0
COMP-0103,Li-Ion Cell v4,battery_cell,SKU-BAT-00103,2,supplier_077,NexGen CHI-077,China,200840,84.16,45,1,0
COMP-0104,Power Cell v3,battery_cell,SKU-BAT-00104,1,supplier_035,CoreTech GER-035,Germany,294504,26.54,52,0,0
COMP-0105,Rigid-Flex PCB v1,pcb,SKU-PCB-00105,1,supplier_332,PrecisionCo CHI-332,China,355583,5.23,40,0,0
COMP-0106,OLED Display v3,display,SKU-DIS-00106,2,supplier_277,NexGen TAI-277,Taiwan,147892,80.06,71,0,0
COMP-0107,Power IC v1,semiconductor,SKU-SEM-00107,2,supplier_500,TechMfg TAI-500,Taiwan,53432,58.5,52,0,0
COMP-0108,LED Array v2,display,SKU-DIS-00108,2,supplier_160,TechMfg JAP-160,Japan,89328,10.91,55,0,0
COMP-0109,FPC Connector v4,connector,SKU-CON-00109,2,supplier_177,NexGen JAP-177,Japan,340754,2.47,26,0,0
COMP-0110,Bluetooth IC v2,ic_chip,SKU-IC_-00110,2,supplier_161,GlobalParts IND-161,India,357369,4.96,77,0,1
COMP-0111,Power Cell v2,battery_cell,SKU-BAT-00111,3,supplier_072,PrecisionCo CHI-072,China,457908,16.36,24,0,1
COMP-0112,FPC Connector v2,connector,SKU-CON-00112,1,supplier_034,EliteMfg TAI-034,Taiwan,113734,1.34,7,0,0
COMP-0113,Power Wire v1,cable,SKU-CAB-00113,2,supplier_018,ApexManuf CHI-018,China,373493,0.34,19,0,0
COMP-0114,NAND Flash v1,semiconductor,SKU-SEM-00114,3,supplier_431,GlobalParts CHI-431,China,276803,65.72,85,0,0
COMP-0115,NAND Flash v2,semiconductor,SKU-SEM-00115,2,supplier_198,ApexManuf CHI-198,China,293979,60.43,64,0,0
COMP-0116,Battery Module v3,battery_cell,SKU-BAT-00116,2,supplier_376,PrimeParts CHI-376,China,154927,22.07,35,0,0
COMP-0117,Main Camera v3,camera_module,SKU-CAM-00117,1,supplier_376,PrimeParts CHI-376,China,379986,34.68,35,0,0
COMP-0118,LCD Panel v1,display,SKU-DIS-00118,1,supplier_412,PrecisionCo CHI-412,China,349732,20.78,90,1,0
COMP-0119,NFC Chip v1,ic_chip,SKU-IC_-00119,1,supplier_225,CoreTech JAP-225,Japan,92227,9.76,82,0,0
COMP-0120,Audio Codec v2,ic_chip,SKU-IC_-00120,1,supplier_097,NexGen CHI-097,China,236841,2.96,66,0,0
COMP-0121,Battery Module v1,battery_cell,SKU-BAT-00121,2,supplier_284,EliteMfg TAI-284,Taiwan,192285,64.82,54,0,0
COMP-0122,Mainboard PCB v3,pcb,SKU-PCB-00122,2,supplier_025,CoreTech JAP-025,Japan,186330,7.24,29,1,0
COMP-0123,LiPo Pack v2,battery_cell,SKU-BAT-00123,3,supplier_379,StarComp CHI-379,China,174589,36.53,43,0,0
COMP-0124,Gyroscope v1,sensor,SKU-SEN-00124,1,supplier_261,GlobalParts JAP-261,Japan,225505,13.69,40,0,0
COMP-0125,RF Cable v2,cable,SKU-CAB-00125,1,supplier_001,GlobalParts CHI-001,China,299273,1.3,20,0,0
COMP-0126,Accelerometer v4,sensor,SKU-SEN-00126,2,supplier_446,PrimeParts SOU-446,South Korea,415104,18.74,36,0,0
COMP-0127,Mainboard PCB v2,pcb,SKU-PCB-00127,2,supplier_108,ApexManuf SOU-108,South Korea,232217,17.31,20,0,0
COMP-0128,DRAM Module v4,semiconductor,SKU-SEM-00128,1,supplier_050,TechMfg JAP-050,Japan,52773,14.91,77,0,0
COMP-0129,NAND Flash v3,semiconductor,SKU-SEM-00129,1,supplier_431,GlobalParts CHI-431,China,172236,5.37,72,0,0
COMP-0130,Plastic Shell v2,housing,SKU-HOU-00130,2,supplier_133,UniComp CHI-133,China,209636,13.38,20,0,0
COMP-0131,Power IC v3,semiconductor,SKU-SEM-00131,1,supplier_050,TechMfg JAP-050,Japan,25905,49.95,53,0,0
COMP-0132,Mainboard PCB v1,pcb,SKU-PCB-00132,2,supplier_427,NexGen USA-427,USA,52155,13.63,40,0,0
COMP-0133,LED Array v2,display,SKU-DIS-00133,2,supplier_023,UniComp CHI-023,China,31632,114.09,49,0,1
COMP-0134,MCU Unit v4,semiconductor,SKU-SEM-00134,1,supplier_404,EliteMfg MEX-404,Mexico,400771,40.39,119,0,0
COMP-0135,Plastic Shell v2,housing,SKU-HOU-00135,1,supplier_486,PrimeParts CHI-486,China,402744,8.98,26,0,0
COMP-0136,Mainboard PCB v3,pcb,SKU-PCB-00136,1,supplier_161,GlobalParts IND-161,India,490948,21.79,17,0,0
COMP-0137,MCU Unit v3,semiconductor,SKU-SEM-00137,2,supplier_180,TechMfg TAI-180,Taiwan,220126,51.02,77,0,0
COMP-0138,Board-to-Board v4,connector,SKU-CON-00138,1,supplier_467,NexGen CHI-467,China,386585,1.38,14,0,0
COMP-0139,NFC Chip v2,ic_chip,SKU-IC_-00139,2,supplier_231,GlobalParts TAI-231,Taiwan,175537,3.28,59,0,0
COMP-0140,Bluetooth IC v1,ic_chip,SKU-IC_-00140,1,supplier_190,TechMfg CHI-190,China,153189,7.26,32,0,0
COMP-0141,Bluetooth IC v4,ic_chip,SKU-IC_-00141,2,supplier_108,ApexManuf SOU-108,South Korea,379208,2.65,73,0,0
COMP-0142,Frame v4,housing,SKU-HOU-00142,2,supplier_464,EliteMfg TAI-464,Taiwan,52745,1.26,35,1,0
COMP-0143,Wide-Angle v4,camera_module,SKU-CAM-00143,3,supplier_197,NexGen CHI-197,China,460701,10.65,65,0,1
COMP-0144,Main Camera v4,camera_module,SKU-CAM-00144,2,supplier_341,GlobalParts SOU-341,South Korea,42090,114.08,31,0,0
COMP-0145,LED Array v1,display,SKU-DIS-00145,2,supplier_249,StarComp JAP-249,Japan,226361,95.46,30,0,0
COMP-0146,Bluetooth IC v4,ic_chip,SKU-IC_-00146,1,supplier_440,TechMfg CHI-440,China,425521,2.78,60,0,0
COMP-0147,Main Camera v2,camera_module,SKU-CAM-00147,2,supplier_388,ApexManuf USA-388,USA,107822,145.16,62,0,0
COMP-0148,Power IC v4,semiconductor,SKU-SEM-00148,1,supplier_428,ApexManuf USA-428,USA,465581,70.37,90,0,0
COMP-0149,Plastic Shell v1,housing,SKU-HOU-00149,3,supplier_051,GlobalParts JAP-051,Japan,252919,8.68,29,0,0
COMP-0150,Wide-Angle v3,camera_module,SKU-CAM-00150,2,supplier_304,EliteMfg GER-304,Germany,467507,68.47,52,0,0
COMP-0151,LCD Panel v4,display,SKU-DIS-00151,3,supplier_398,ApexManuf CHI-398,China,34916,39.94,47,0,0
COMP-0152,Light Sensor v1,sensor,SKU-SEN-00152,2,supplier_012,PrecisionCo MEX-012,Mexico,253484,13.96,35,0,0
COMP-0153,Aluminum Chassis v3,housing,SKU-HOU-00153,1,supplier_335,CoreTech TAI-335,Taiwan,395359,1.08,33,0,0
COMP-0154,Plastic Shell v4,housing,SKU-HOU-00154,1,supplier_262,PrecisionCo CHI-262,China,223945,3.23,18,0,1
COMP-0155,Sub-PCB v1,pcb,SKU-PCB-00155,3,supplier_049,StarComp SOU-049,South Korea,99774,20.42,26,0,0
COMP-0156,Rigid-Flex PCB v1,pcb,SKU-PCB-00156,2,supplier_041,GlobalParts CHI-041,China,495376,16.22,41,0,0
COMP-0157,HDMI Connector v1,connector,SKU-CON-00157,1,supplier_216,PrimeParts CHI-216,China,102631,2.98,19,0,0
COMP-0158,Rigid-Flex PCB v3,pcb,SKU-PCB-00158,2,supplier_021,GlobalParts TAI-021,Taiwan,272786,22.67,23,0,0
COMP-0159,USB-C Port v2,connector,SKU-CON-00159,3,supplier_468,ApexManuf TAI-468,Taiwan,455848,0.23,9,0,0
COMP-0160,Power IC v4,semiconductor,SKU-SEM-00160,2,supplier_078,ApexManuf CHI-078,China,35078,45.83,114,0,0
COMP-0161,Gyroscope v4,sensor,SKU-SEN-00161,1,supplier_223,UniComp JAP-223,Japan,86488,6.56,59,0,0
COMP-0162,Accelerometer v3,sensor,SKU-SEN-00162,3,supplier_144,EliteMfg TAI-144,Taiwan,100348,17.41,18,0,0
COMP-0163,Touch Screen v3,display,SKU-DIS-00163,3,supplier_416,PrimeParts SOU-416,South Korea,309746,113.49,81,0,0
COMP-0164,Main Camera v4,camera_module,SKU-CAM-00164,2,supplier_398,ApexManuf CHI-398,China,194336,135.85,63,0,0
COMP-0165,Power Cell v2,battery_cell,SKU-BAT-00165,2,supplier_353,UniComp CHI-353,China,228600,36.61,39,0,0
COMP-0166,LiPo Pack v1,battery_cell,SKU-BAT-00166,1,supplier_196,PrimeParts CHI-196,China,362063,70.85,24,0,0
COMP-0167,Gyroscope v1,sensor,SKU-SEN-00167,2,supplier_466,PrimeParts MAL-466,Malaysia,43837,3.57,15,0,0
COMP-0168,RF Cable v2,cable,SKU-CAB-00168,1,supplier_488,ApexManuf TAI-488,Taiwan,192080,1.87,14,1,0
COMP-0169,Power Wire v1,cable,SKU-CAB-00169,1,supplier_119,StarComp CHI-119,China,177993,0.14,9,0,0
COMP-0170,LCD Panel v1,display,SKU-DIS-00170,3,supplier_285,CoreTech TAI-285,Taiwan,130778,76.99,62,0,0
COMP-0171,Accelerometer v3,sensor,SKU-SEN-00171,2,supplier_401,GlobalParts IND-401,India,326120,19.0,54,0,1
COMP-0172,OLED Display v1,display,SKU-DIS-00172,1,supplier_046,PrimeParts MEX-046,Mexico,203875,113.75,56,0,0
COMP-0173,Data Cable v2,cable,SKU-CAB-00173,2,supplier_386,PrimeParts CHI-386,China,211797,0.65,9,0,0
COMP-0174,Touch Screen v1,display,SKU-DIS-00174,2,supplier_337,NexGen MAL-337,Malaysia,404093,88.02,43,0,0
COMP-0175,Wi-Fi IC v3,ic_chip,SKU-IC_-00175,1,supplier_469,StarComp CHI-469,China,411170,5.03,28,0,0
COMP-0176,Back Cover v1,housing,SKU-HOU-00176,2,supplier_255,CoreTech SOU-255,South Korea,138818,7.55,45,1,0
COMP-0177,Plastic Shell v4,housing,SKU-HOU-00177,1,supplier_211,GlobalParts CHI-211,China,367101,3.81,32,0,0
COMP-0178,Proximity Sensor v3,sensor,SKU-SEN-00178,3,supplier_026,PrimeParts SOU-026,South Korea,9152,17.99,36,0,1
COMP-0179,LiPo Pack v3,battery_cell,SKU-BAT-00179,3,supplier_031,GlobalParts TAI-031,Taiwan,359964,71.01,46,0,0
COMP-0180,Bluetooth IC v2,ic_chip,SKU-IC_-00180,3,supplier_319,StarComp VIE-319,Vietnam,385372,3.54,65,1,0
COMP-0181,Flex PCB v4,pcb,SKU-PCB-00181,3,supplier_336,PrimeParts USA-336,USA,352601,11.2,25,0,0
COMP-0182,Wide-Angle v2,camera_module,SKU-CAM-00182,2,supplier_253,UniComp CHI-253,China,245182,40.17,58,0,0
COMP-0183,Back Cover v2,housing,SKU-HOU-00183,1,supplier_066,PrimeParts CHI-066,China,187283,11.34,34,0,0
COMP-0184,Power Cell v3,battery_cell,SKU-BAT-00184,1,supplier_137,NexGen SOU-137,South Korea,50319,16.43,59,0,1
COMP-0185,Li-Ion Cell v2,battery_cell,SKU-BAT-00185,2,supplier_146,PrimeParts USA-146,USA,94932,69.17,56,0,0
COMP-0186,Touch Screen v4,display,SKU-DIS-00186,1,supplier_088,ApexManuf CHI-088,China,393896,21.95,59,0,0
COMP-0187,HDMI Connector v1,connector,SKU-CON-00187,1,supplier_155,CoreTech TAI-155,Taiwan,353688,2.13,20,0,0
COMP-0188,LCD Panel v2,display,SKU-DIS-00188,2,supplier_241,GlobalParts CHI-241,China,291001,98.73,75,1,0
COMP-0189,LiPo Pack v2,battery_cell,SKU-BAT-00189,1,supplier_411,GlobalParts CHI-411,China,170144,18.34,35,0,0
COMP-0190,LiPo Pack v2,battery_cell,SKU-BAT-00190,1,supplier_197,NexGen CHI-197,China,454992,30.3,51,0,0
COMP-0191,OLED Display v2,display,SKU-DIS-00191,2,supplier_066,PrimeParts CHI-066,China,350645,47.47,48,1,0
COMP-0192,Wi-Fi IC v3,ic_chip,SKU-IC_-00192,3,supplier_382,PrecisionCo VIE-382,Vietnam,182797,6.47,55,1,0
COMP-0193,Power IC v3,semiconductor,SKU-SEM-00193,2,supplier_500,TechMfg TAI-500,Taiwan,220811,72.78,112,0,0
COMP-0194,Frame v2,housing,SKU-HOU-00194,1,supplier_231,GlobalParts TAI-231,Taiwan,355390,7.42,14,0,0
COMP-0195,Sub-PCB v2,pcb,SKU-PCB-00195,2,supplier_204,EliteMfg SOU-204,South Korea,381851,21.08,31,0,0
COMP-0196,Wi-Fi IC v3,ic_chip,SKU-IC_-00196,2,supplier_113,UniComp TAI-113,Taiwan,34811,9.95,80,0,0
COMP-0197,Wide-Angle v1,camera_module,SKU-CAM-00197,1,supplier_445,CoreTech TAI-445,Taiwan,64532,47.53,54,0,0
COMP-0198,Coaxial Cable v3,cable,SKU-CAB-00198,1,supplier_470,TechMfg VIE-470,Vietnam,497280,0.6,15,0,0
COMP-0199,Li-Ion Cell v1,battery_cell,SKU-BAT-00199,1,supplier_098,ApexManuf SOU-098,South Korea,314878,38.05,58,0,0
COMP-0200,Power IC v1,semiconductor,SKU-SEM-00200,1,supplier_341,GlobalParts SOU-341,South Korea,370065,65.15,58,0,0
COMP-0201,Bluetooth IC v4,ic_chip,SKU-IC_-00201,1,supplier_457,NexGen CHI-457,China,150060,8.16,68,1,0
COMP-0202,Mainboard PCB v4,pcb,SKU-PCB-00202,3,supplier_139,StarComp CHI-139,China,281052,11.32,22,0,0
COMP-0203,Bluetooth IC v3,ic_chip,SKU-IC_-00203,2,supplier_127,NexGen CHI-127,China,304346,3.85,75,0,0
COMP-0204,Light Sensor v4,sensor,SKU-SEN-00204,1,supplier_107,NexGen JAP-107,Japan,286214,19.88,40,0,0
